VCD info: dumpfile dump.vcd opened for output.

 FIR FILTER VERIFICATION 

[TEST 1] Impulse Response Test
 OK @ 135000 | y=   192
 OK @ 1435000 | y=-32640
 OK @ 1445000 | y=-32640
 OK @ 1455000 | y=-32576
 OK @ 1465000 | y=-32448
 OK @ 1475000 | y=-32192
 OK @ 1485000 | y=-31680
 OK @ 1495000 | y=-30656
 OK @ 1505000 | y=-28608
 OK @ 1515000 | y=-24512
 OK @ 1525000 | y=-16320
 OK @ 1535000 | y= -8128
 OK @ 1545000 | y= -4032
 OK @ 1555000 | y= -1984

[TEST 5] Alternating Pattern Test
 OK @ 1565000 | y=  -960
 OK @ 1575000 | y=  -448
 OK @ 1585000 | y=  -192
 OK @ 1595000 | y=   -64
 OK @ 1605000 | y=     0
 OK @ 1615000 | y=     0
 OK @ 1625000 | y=     0
 OK @ 1635000 | y=     0
 OK @ 1645000 | y=     0
 OK @ 1655000 | y=     0
 OK @ 1665000 | y=     0
 OK @ 1675000 | y=   -32
 OK @ 1685000 | y=   -96
 OK @ 1695000 | y=  -224
 OK @ 1705000 | y=  -480
 OK @ 1715000 | y=  -992
 OK @ 1725000 | y= -2016
 OK @ 1735000 | y= -4064
 OK @ 1745000 | y= -8160
 OK @ 1755000 | y=-12256
 OK @ 1765000 | y=-14304
 OK @ 1775000 | y=-15328
 OK @ 1785000 | y=-15840
 OK @ 1795000 | y=-16096
 OK @ 1805000 | y=-16224
 OK @ 1815000 | y=-16288
 OK @ 1825000 | y=-16320
 OK @ 1835000 | y=-16320
 OK @ 1845000 | y=-16320
 OK @ 1855000 | y=-16320
 OK @ 1865000 | y=-16320
 OK @ 1875000 | y=-16320
 OK @ 1885000 | y=-16320
 OK @ 1895000 | y=-16320
 OK @ 1905000 | y=-16320
 OK @ 1915000 | y=-16320
 OK @ 1925000 | y=-16320
 OK @ 1935000 | y=-16320
 OK @ 1945000 | y=-16320
 OK @ 1955000 | y=-16320
 OK @ 1965000 | y=-16320
 OK @ 1975000 | y=-16320
 OK @ 1985000 | y=-16320
 OK @ 1995000 | y=-16320
 OK @ 2005000 | y=-16320
 OK @ 2015000 | y=-16320
 OK @ 2025000 | y=-16320
 OK @ 2035000 | y=-16320
 OK @ 2045000 | y=-16320
 OK @ 2055000 | y=-16320
 OK @ 2065000 | y=-16320
 OK @ 2075000 | y=-16288
 OK @ 2085000 | y=-16224
 OK @ 2095000 | y=-16096
 OK @ 2105000 | y=-15840
 OK @ 2115000 | y=-15328
 OK @ 2125000 | y=-14304
 OK @ 2135000 | y=-12256
 OK @ 2145000 | y= -8160
 OK @ 2155000 | y= -4064
 OK @ 2165000 | y= -2016
 OK @ 2175000 | y=  -992

[TEST 6] Random Input Test
 OK @ 2185000 | y=  -480
 OK @ 2195000 | y=  -224
 OK @ 2205000 | y=   -96
 OK @ 2215000 | y=   -32
 OK @ 2225000 | y=     0
 OK @ 2235000 | y=     0
 OK @ 2245000 | y=     0
 OK @ 2255000 | y=     0
 OK @ 2265000 | y=     0
 OK @ 2275000 | y=    27
 OK @ 2285000 | y=    80
 OK @ 2295000 | y=   138
 OK @ 2305000 | y=   256
 OK @ 2315000 | y=   573
 OK @ 2325000 | y=  1208
 OK @ 2335000 | y=  2355
 OK @ 2345000 | y=  4647
 OK @ 2355000 | y=  5879
 OK @ 2365000 | y=  3241
 OK @ 2375000 | y=  1508
 OK @ 2385000 | y=  5897
 OK @ 2395000 | y=  8093
 OK @ 2405000 | y= -1393
 OK @ 2415000 | y=-11573
 OK @ 2425000 | y=-11723
 OK @ 2435000 | y= -8038
 OK @ 2445000 | y= -4677
 OK @ 2455000 | y=  -806
 OK @ 2465000 | y=  4512
 OK @ 2475000 | y=  7318
 OK @ 2485000 | y=  2549
 OK @ 2495000 | y= -5007
 OK @ 2505000 | y=-12252
 OK @ 2515000 | y=-16347
 OK @ 2525000 | y=-12817
 OK @ 2535000 | y= -7296
 OK @ 2545000 | y= -4371
 OK @ 2555000 | y=  -433
 OK @ 2565000 | y=  8701
 OK @ 2575000 | y= 18164
 OK @ 2585000 | y= 23167
 OK @ 2595000 | y= 25120
 OK @ 2605000 | y= 23879
 OK @ 2615000 | y= 21982
 OK @ 2625000 | y= 21703
 OK @ 2635000 | y= 21956
 OK @ 2645000 | y= 21907
 OK @ 2655000 | y= 20836
 OK @ 2665000 | y= 17629
 OK @ 2675000 | y= 14724
 OK @ 2685000 | y= 14787
 OK @ 2695000 | y= 15665
 OK @ 2705000 | y= 15495
 OK @ 2715000 | y= 14594
 OK @ 2725000 | y= 12995
 OK @ 2735000 | y= 10363
 OK @ 2745000 | y=  5781
 OK @ 2755000 | y=  2744
 OK @ 2765000 | y=  5516
 OK @ 2775000 | y=  8520
 OK @ 2785000 | y=  6328
 OK @ 2795000 | y=  4047
 OK @ 2805000 | y=  6736
 OK @ 2815000 | y=  9593
 OK @ 2825000 | y=  7900
 OK @ 2835000 | y=  4822
 OK @ 2845000 | y=  2765
 OK @ 2855000 | y=  1364
 OK @ 2865000 | y=   663
 OK @ 2875000 | y=   337

[TEST 7] Clock Gating Test
 OK @ 2885000 | y=   174
 OK @ 2895000 | y=    69
 OK @ 3005000 | y=    16
 OK @ 3015000 | y=     5
 OK @ 3025000 | y=     0
 OK @ 3035000 | y=     0
 OK @ 3045000 | y=     0
 OK @ 3055000 | y=     0
 OK @ 3065000 | y=     0
 OK @ 3075000 | y=     0
 OK @ 3085000 | y=     0
 OK @ 3095000 | y=    10
 OK @ 3105000 | y=    30
 OK @ 3115000 | y=    59
 OK @ 3125000 | y=   118
 OK @ 3135000 | y=   236
 OK @ 3145000 | y=   472
 OK @ 3155000 | y=   945
 OK @ 3165000 | y=  1889
 OK @ 3175000 | y=  2519
 OK @ 3185000 | y=  1889
 OK @ 3195000 | y=   945
 OK @ 3205000 | y=   472
 OK @ 3215000 | y=   236

[TEST 8] Zero Input Stability Test
 OK @ 3225000 | y=   118
 OK @ 3235000 | y=    59
 OK @ 3245000 | y=    30
 OK @ 3255000 | y=    10
 OK @ 3265000 | y=     0
 OK @ 3275000 | y=     0
 OK @ 3285000 | y=     0
 OK @ 3295000 | y=     0
 OK @ 3305000 | y=     0
 OK @ 3315000 | y=     0
 OK @ 3325000 | y=     0
 OK @ 3335000 | y=     0
 OK @ 3345000 | y=     0
 OK @ 3355000 | y=     0
 OK @ 3365000 | y=     0
 OK @ 3375000 | y=     0
 OK @ 3385000 | y=     0
 OK @ 3395000 | y=     0
 OK @ 3405000 | y=     0
 OK @ 3415000 | y=     0
 OK @ 3425000 | y=     0
 OK @ 3435000 | y=     0
 OK @ 3445000 | y=     0
 OK @ 3455000 | y=     0
 OK @ 3465000 | y=     0
 OK @ 3475000 | y=     0
 OK @ 3485000 | y=     0
 OK @ 3495000 | y=     0
 OK @ 3505000 | y=     0
 OK @ 3515000 | y=     0
 OK @ 3525000 | y=     0
 OK @ 3535000 | y=     0
 OK @ 3545000 | y=     0
 OK @ 3555000 | y=     0
 OK @ 3565000 | y=     0
 OK @ 3575000 | y=     0
 OK @ 3585000 | y=     0
 OK @ 3595000 | y=     0
 OK @ 3605000 | y=     0

 TEST STATISTICS 
Total Tests Run: 8
Total Samples: 349
Mismatches: 0
Saturation Events: 0

 ALL TESTS PASSED!
==

 OK @ 3615000 | y=     0
 OK @ 3625000 | y=     0
 OK @ 3635000 | y=     0
 OK @ 3645000 | y=     0
 OK @ 3655000 | y=     0
 OK @ 3665000 | y=     0
 OK @ 3675000 | y=     0
 OK @ 3685000 | y=     0
 OK @ 3695000 | y=     0
 OK @ 3705000 | y=     0
ntb_fir_16tap.v:241: $finish called at 3715000 (1ps)
 OK @ 3715000 | y=     0
